Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
Aditya Birla Sun Life Quant Fund - Direct Plan,--,-4.28,58/77,Very High,EQ-THEMATIC,Unlock,0.50,2024-06-28,"2,594"
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan,2,6.26,22/88,Very High,EQ-FLX,Unlock,1.16,2019-03-11,418.00
Aditya Birla Sun Life Small Cap Fund - Direct Plan,1,-1.47,31/42,Very High,EQ-SC,Unlock,0.89,2013-01-01,"5,134"
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan,--,4.85,15/77,Very High,EQ-THEMATIC,Unlock,1.33,2020-10-23,812.00
Aditya Birla Sun Life Transportation and Logistics Fund - Direct Plan,--,-3.99,57/77,Very High,EQ-THEMATIC,Unlock,0.71,2023-11-17,"1,511"
Aditya Birla Sun Life Value Fund - Direct Plan,2,-2.92,18/26,Very High,EQ-VAL,Unlock,1.00,2013-01-01,"6,371"
Angel One Nifty 50 ETF,--,--,--,Very High,EQ-LC,Unlock,0.09,2025-05-22,10.00
Angel One Nifty 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.20,2025-05-22,36.00
Angel One Nifty Total Market ETF,--,--,--,Very High,EQ-FLX,Unlock,0.28,2025-02-28,27.00
Angel One Nifty Total Market Index Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,0.28,2025-02-28,42.00
Axis BSE Sensex ETF,--,2.99,22/146,Very High,EQ-LC,Unlock,0.04,2023-03-24,136.00
Axis BSE Sensex Index Fund - Direct Plan,--,2.86,23/94,Very High,EQ-LC,Unlock,0.10,2024-02-27,50.00
Axis Business Cycles Fund - Direct Plan,--,3.03,23/77,Very High,EQ-THEMATIC,Unlock,0.72,2023-02-22,"2,446"
Axis Consumption Fund - Direct Plan,--,--,--,Very High,EQ-Consumption,Unlock,0.45,2024-09-12,"4,213"
Axis ELSS Tax Saver Fund - Direct Plan,1,4.65,8/39,Very High,EQ-ELSS,Unlock,0.80,2013-01-01,"36,258"
Axis ESG Integration Strategy Fund - Direct Plan,--,1.65,5/9,Very High,EQ-T-ESG,Unlock,1.30,2020-02-12,"1,273"
Axis Flexi Cap Fund - Direct Plan,2,7.41,15/88,Very High,EQ-FLX,Unlock,0.71,2017-11-20,"13,316"
Axis Focused Fund - Direct Plan,1,6.70,20/88,Very High,EQ-FLX,Unlock,0.81,2013-01-01,"13,025"
