Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
DSP Multicap Fund - Direct Plan,--,1.87,19/26,Very High,EQ-MLC,Unlock,0.55,2024-01-30,"2,388"
DSP Natural Resources and New Energy Fund - Direct Plan,--,-2.07,3/4,Very High,EQ-Energy,Unlock,0.95,2013-01-03,"1,316"
DSP NIFTY 50 Equal Weight ETF,--,1.16,79/146,Very High,EQ-LC,Unlock,0.20,2021-11-08,581.00
DSP Nifty 50 Equal Weight Index Fund - Direct Plan,5,0.98,59/94,Very High,EQ-LC,Unlock,0.39,2017-10-23,"2,227"
DSP Nifty 50 ETF,--,2.99,23/146,Very High,EQ-LC,Unlock,0.06,2021-12-23,156.00
DSP Nifty 50 Index Fund - Direct Plan,3,2.84,25/94,Very High,EQ-LC,Unlock,0.17,2019-02-21,810.00
DSP Nifty Bank ETF,--,11.77,26/54,Very High,EQ-BANK,Unlock,0.15,2023-01-03,700.00
DSP Nifty Bank Index Fund - Direct Plan,--,11.64,23/30,Very High,EQ-BANK,Unlock,0.20,2024-05-31,54.00
DSP Nifty Healthcare ETF,--,11.87,13/23,Very High,EQ-Pharma,Unlock,0.20,2024-02-01,11.00
DSP Nifty Healthcare Index Fund - Direct Plan,--,--,--,Very High,EQ-Pharma,Unlock,0.25,2025-06-20,8.00
DSP Nifty IT ETF,--,-9.40,16/26,Very High,EQ-IT,Unlock,0.20,2023-07-07,42.00
DSP Nifty IT Index Fund - Direct Plan,--,--,--,Very High,EQ-IT,Unlock,0.25,2025-06-20,7.00
DSP Nifty Midcap 150 Quality 50 ETF,--,-0.78,40/53,Very High,EQ-MC,Unlock,0.30,2021-12-23,106.00
DSP Nifty Midcap 150 Quality 50 Index Fund - Direct Plan,--,-0.79,35/43,Very High,EQ-MC,Unlock,0.29,2022-08-04,464.00
DSP Nifty Next 50 Index Fund - Direct Plan,2,-6.68,88/94,Very High,EQ-LC,Unlock,0.26,2019-02-21,"1,057"
DSP Nifty Private Bank ETF,--,9.29,41/54,Very High,EQ-BANK,Unlock,0.15,2023-07-27,391.00
DSP Nifty Private Bank Index Fund - Direct Plan,--,--,--,Very High,EQ-BANK,Unlock,0.26,2025-03-06,24.00
DSP Nifty PSU Bank ETF,--,-1.76,50/54,Very High,EQ-BANK,Unlock,0.15,2023-07-27,72.00
DSP Nifty Smallcap250 Quality 50 Index Fund - Direct Plan,--,-3.18,38/42,Very High,EQ-SC,Unlock,0.30,2023-12-26,281.00
DSP Nifty Top 10 Equal Weight ETF,--,--,--,Very High,EQ-LC,Unlock,0.15,2024-09-05,759.00
DSP Nifty Top 10 Equal Weight Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.25,2024-09-05,"1,746"
DSP Quant Fund - Direct Plan,--,0.90,33/77,Very High,EQ-THEMATIC,Unlock,0.56,2019-06-10,939.00
DSP Small Cap Fund - Direct Plan,2,5.18,7/42,Very High,EQ-SC,Unlock,0.80,2013-01-01,"17,126"
DSP US Flexible Equity Fund of Fund - Direct Plan,--,23.84,21/51,Very High,EQ-INTL,Unlock,1.49,2013-01-03,935.00
DSP Value Fund - Direct Plan,4,8.20,--,Very High,EQ-VAL,Unlock,0.94,2020-12-10,"1,042"
DSP World Gold FoF - Direct Plan,--,58.17,2/51,Very High,EQ-INTL,Unlock,1.66,2013-01-02,"1,202"
DSP World Mining Fund of Fund - Direct Plan,--,16.96,39/51,Very High,EQ-INTL,Unlock,1.51,2013-01-03,130.00
Edelweiss ASEAN Equity Off-shore Fund - Direct Plan,--,20.54,34/51,Very High,EQ-INTL,Unlock,0.76,2013-01-01,108.00
Edelweiss BSE Capital Markets & Insurance ETF,--,--,--,Very High,EQ-THEMATIC,Unlock,0.26,2024-12-30,18.00
Edelweiss BSE Internet Economy Index Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.35,2025-05-16,32.00
Edelweiss Business Cycle Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.42,2024-07-29,"1,941"
Edelweiss Consumption Fund - Direct Plan,--,--,--,Very High,EQ-Consumption,Unlock,0.67,2025-02-20,387.00
Edelweiss ELSS Tax Saver Fund - Direct Plan,3,2.84,19/39,Very High,EQ-ELSS,Unlock,0.70,2013-01-21,431.00
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan,--,18.53,38/51,Very High,EQ-INTL,Unlock,0.58,2014-07-07,129.00
Edelweiss Europe Dynamic Equity Offshore Fund - Direct Plan,--,30.72,9/51,Very High,EQ-INTL,Unlock,0.60,2014-02-07,115.00
Edelweiss Flexi Cap Fund - Direct Plan,4,2.45,50/88,Very High,EQ-FLX,Unlock,0.43,2015-02-03,"2,802"
Edelweiss Focused Fund - Direct Plan,--,2.72,46/88,Very High,EQ-FLX,Unlock,0.63,2022-08-01,"1,001"
Edelweiss Greater China Equity Off-shore Fund - Direct Plan,--,37.68,5/51,Very High,EQ-INTL,Unlock,0.73,2013-01-01,"1,908"
Edelweiss Large Cap Fund - Direct Plan,4,1.39,46/94,Very High,EQ-LC,Unlock,0.61,2013-01-01,"1,322"
Edelweiss Large & Mid Cap Fund - Direct Plan,3,4.03,11/44,Very High,EQ-L&MC,Unlock,0.45,2013-01-01,"4,139"
Edelweiss Mid Cap Fund - Direct Plan,5,8.98,3/43,Very High,EQ-MC,Unlock,0.39,2013-01-01,"10,988"
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund - Direct Plan,2,9.00,15/17,Very High,EQ-Pharma,Unlock,0.51,2020-10-26,161.00
Edelweiss Multi Cap Fund - Direct Plan,--,4.16,10/26,Very High,EQ-MLC,Unlock,0.42,2023-10-25,"2,953"
Edelweiss Nifty 100 Quality 30 Index Fund - Direct Plan,3,-5.40,77/94,Very High,EQ-LC,Unlock,0.30,2021-10-07,151.00
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,--,--,--,Very High,EQ-MLC,Unlock,0.30,2024-10-31,28.00
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-MLC,Unlock,0.37,2024-10-31,259.00
Edelweiss Nifty 50 Index Fund - Direct Plan,3,2.90,19/94,Very High,EQ-LC,Unlock,0.05,2021-10-07,180.00
Edelweiss Nifty Alpha Low Volatility 30 Index Fund - Direct Plan,--,-8.60,35/44,Very High,EQ-L&MC,Unlock,0.40,2024-05-17,158.00
Edelweiss Nifty Bank ETF,--,--,--,Very High,EQ-BANK,Unlock,0.06,2024-09-10,5.00
Edelweiss NIFTY Large Mid Cap 250 Index Fund - Direct Plan,3,1.81,22/44,Very High,EQ-L&MC,Unlock,0.25,2021-12-01,290.00
Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan,--,-3.05,39/43,Very High,EQ-MC,Unlock,0.38,2022-11-30,"1,103"
Edelweiss Nifty Next 50 Index Fund - Direct Plan,--,-6.61,86/94,Very High,EQ-LC,Unlock,0.09,2022-11-30,145.00
Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan,--,-0.49,23/42,Very High,EQ-SC,Unlock,0.14,2022-11-30,149.00
Edelweiss Recently Listed IPO Fund - Direct Plan,--,2.98,24/77,Very High,EQ-THEMATIC,Unlock,0.98,2018-02-22,919.00
Edelweiss Small Cap Fund - Direct Plan,4,4.33,11/42,Very High,EQ-SC,Unlock,0.42,2019-02-07,"4,930"
Edelweiss Technology Fund - Direct Plan,--,4.26,2/15,Very High,EQ-IT,Unlock,0.61,2024-03-05,687.00
Edelweiss US Technology Equity FoF - Direct Plan,--,35.99,6/51,Very High,EQ-INTL,Unlock,0.70,2020-03-05,"3,042"
Edelweiss US Value Equity Off-shore Fund - Direct Plan,--,12.35,48/51,Very High,EQ-INTL,Unlock,0.72,2013-08-07,166.00
Franklin Asian Equity Fund - Direct Plan,--,15.54,42/51,Very High,EQ-INTL,Unlock,1.75,2013-01-01,263.00
Franklin Build India Fund - Direct Plan,5,-0.82,5/20,Very High,EQ-INFRA,Unlock,0.95,2013-01-01,"2,968"
Franklin India Dividend Yield Fund - Direct Plan,--,-4.87,9/9,Very High,EQ-DIV Y,Unlock,1.23,2013-01-01,"2,421"
Franklin India ELSS Tax Saver Fund - Direct Plan,4,2.75,24/39,Very High,EQ-ELSS,Unlock,1.01,2013-01-01,"6,883"
Franklin India Flexi Cap Fund - Direct Plan,4,3.16,41/88,Very High,EQ-FLX,Unlock,0.89,2013-01-01,"19,365"
Franklin India Focused Equity Fund - Direct Plan,4,2.56,49/88,Very High,EQ-FLX,Unlock,0.95,2013-01-01,"12,536"
Franklin India Large Cap Fund - Direct Plan,3,4.41,6/94,Very High,EQ-LC,Unlock,1.08,2013-01-01,"7,984"
Franklin India Large & Mid Cap Fund - Direct Plan,3,5.54,7/44,Very High,EQ-L&MC,Unlock,1.30,2013-01-01,"3,684"
Franklin India Mid Cap Fund - Direct Plan,3,4.35,13/43,Very High,EQ-MC,Unlock,0.94,2013-01-01,"12,785"
Franklin India Multi Cap Fund - Direct Plan,--,--,--,Very High,EQ-MLC,Unlock,0.33,2024-07-29,"5,087"
Franklin India NSE Nifty 50 Index - Direct Plan,3,2.94,16/94,Very High,EQ-LC,Unlock,0.24,2013-01-01,761.00
Franklin India Opportunities Fund - Direct Plan,--,3.69,20/77,Very High,EQ-THEMATIC,Unlock,0.49,2013-01-01,"7,200"
Franklin India Small Cap Fund - Direct Plan,4,-3.96,40/42,Very High,EQ-SC,Unlock,0.89,2013-01-01,"13,995"
Franklin India Technology Fund - Direct Plan,--,-0.78,7/15,Very High,EQ-IT,Unlock,1.05,2013-01-01,"1,949"
Franklin U.S. Opportunities Equity Active FoF - Direct Plan,--,20.98,31/51,Very High,EQ-INTL,Unlock,0.58,2013-01-02,"4,073"
Groww Banking & Financial Services Fund - Direct Plan,--,12.60,17/30,Very High,EQ-BANK,Unlock,0.36,2024-02-06,57.00
Groww BSE Power ETF,--,--,--,Very High,EQ-THEMATIC,Unlock,--,--,--
Groww BSE Power ETF FOF - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,--,--,--
Groww ELSS Tax Saver Fund - Direct Plan,2,1.39,28/39,Very High,EQ-ELSS,Unlock,0.85,2017-12-28,53.00
Groww Large Cap Fund - Direct Plan,2,0.97,61/94,Very High,EQ-LC,Unlock,1.26,2013-01-01,130.00
Groww Multicap Fund - Direct Plan,--,--,--,Very High,EQ-MLC,Unlock,0.45,2024-12-16,120.00
Groww Nifty 200 ETF,--,--,--,Very High,EQ-L&MC,Unlock,0.35,2025-02-25,13.00
Groww Nifty 200 ETF FoF - Direct Plan,--,--,--,Very High,EQ-L&MC,Unlock,0.15,2025-02-28,5.00
Groww Nifty 500 Low Volatility 50 ETF,--,--,--,Very High,EQ-FLX,Unlock,0.32,2025-06-11,6.00
Groww Nifty 500 Momentum 50 ETF,--,--,--,Very High,EQ-FLX,Unlock,0.44,2025-04-23,18.00
Groww Nifty 500 Momentum 50 ETF FoF - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,0.20,2025-04-24,7.00
Groww Nifty 50 ETF,--,--,--,Very High,EQ-LC,Unlock,--,2025-07-18,--
Groww Nifty 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,--,2025-07-21,--
Groww Nifty EV & New Age Automotive ETF,--,--,--,Very High,EQ-THEMATIC,Unlock,0.47,2024-08-07,269.00
Groww Nifty EV & New Age Automotive ETF FoF - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.19,2024-08-12,144.00
Groww Nifty India Defence ETF,--,--,--,Very High,EQ-THEMATIC,Unlock,0.43,2024-10-08,209.00
Groww Nifty India Defence ETF FoF - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.21,2024-10-11,74.00
Groww Nifty India Internet ETF,--,--,--,Very High,EQ-THEMATIC,Unlock,--,2025-07-01,--
Groww Nifty India Internet ETF FoF - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,--,2025-07-03,--
Groww Nifty India Railways PSU ETF,--,--,--,Very High,EQ-PSU,Unlock,0.49,2025-02-05,70.00
Groww Nifty India Railways PSU Index Fund - Direct Plan,--,--,--,Very High,EQ-PSU,Unlock,0.47,2025-02-04,43.00
Groww Nifty Non-Cyclical Consumer Index Fund - Direct Plan,--,0.03,10/16,Very High,EQ-Consumption,Unlock,0.40,2024-05-22,51.00
Groww Nifty Smallcap 250 Index Fund - Direct Plan,--,-0.62,24/42,Very High,EQ-SC,Unlock,0.45,2024-02-29,119.00
Groww Nifty Total Market Index Fund - Direct Plan,--,1.01,59/88,Very High,EQ-FLX,Unlock,0.40,2023-10-23,320.00
Groww Value Fund - Direct Plan,2,5.32,2/26,Very High,EQ-VAL,Unlock,0.90,2015-09-08,59.00
HDFC Banking & Financial Services Fund - Direct Plan,4,12.81,16/30,Very High,EQ-BANK,Unlock,0.76,2021-07-01,"4,290"
HDFC BSE 500 ETF,--,0.56,58/92,Very High,EQ-FLX,Unlock,0.30,2023-02-15,17.00
HDFC BSE 500 Index Fund - Direct Plan,--,0.52,65/88,Very High,EQ-FLX,Unlock,0.30,2023-04-21,254.00
HDFC BSE Sensex ETF,--,2.98,27/146,Very High,EQ-LC,Unlock,0.05,2015-12-09,536.00
HDFC BSE Sensex Index Fund Direct Plan,2,2.78,36/94,Very High,EQ-LC,Unlock,0.20,2013-01-01,"8,645"
HDFC Business Cycle Fund - Direct Plan,--,4.39,18/77,Very High,EQ-THEMATIC,Unlock,0.84,2022-11-30,"2,955"
HDFC Defence Fund - Direct Plan,--,3.40,22/77,Very High,EQ-THEMATIC,Unlock,0.72,2023-06-02,"7,055"
HDFC Developed World Equity Passive FoF - Direct Plan,--,21.09,--,Very High,EQ-INTL,Unlock,0.22,2021-10-06,"1,326"
HDFC Dividend Yield Fund - Direct Plan,--,-1.50,5/9,Very High,EQ-DIV Y,Unlock,0.69,2020-12-18,"6,597"
HDFC ELSS Tax Saver Fund - Direct Plan,5,6.10,5/39,Very High,EQ-ELSS,Unlock,1.07,2013-01-01,"16,908"
HDFC Flexi Cap Fund - Direct Plan,5,8.34,11/88,Very High,EQ-FLX,Unlock,0.72,2013-01-01,"79,585"
HDFC Focused Fund - Direct Plan,5,9.27,8/88,Very High,EQ-FLX,Unlock,0.60,2013-01-01,"20,868"
HDFC Housing Opportunities Fund - Direct Plan,--,-4.77,60/77,Very High,EQ-THEMATIC,Unlock,1.21,2017-12-06,"1,361"
HDFC Infrastructure Fund - Direct Plan,3,-1.19,6/20,Very High,EQ-INFRA,Unlock,1.06,2013-01-01,"2,591"
HDFC Innovation Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,--,2025-07-17,--
HDFC Large and Mid Cap Fund - Direct Plan,4,2.49,17/44,Very High,EQ-L&MC,Unlock,0.85,2013-01-01,"26,849"
HDFC Large Cap Fund - Direct Plan,5,1.29,49/94,Very High,EQ-LC,Unlock,0.99,2013-01-01,"38,905"
HDFC Manufacturing Fund - Direct Plan,--,0.38,36/77,Very High,EQ-THEMATIC,Unlock,0.62,2024-05-16,"12,170"
HDFC Mid Cap Fund - Direct Plan,5,5.73,7/43,Very High,EQ-MC,Unlock,0.75,2013-01-01,"84,061"
HDFC MNC Fund - Direct Plan,--,-8.34,5/5,Very High,EQ-MNC,Unlock,1.24,2023-03-09,597.00
HDFC Multi Cap Fund - Direct Plan,4,0.59,22/26,Very High,EQ-MLC,Unlock,0.73,2021-12-10,"18,513"
HDFC NIFTY 100 Equal Weight Index Fund - Direct Plan,3,-2.47,74/94,Very High,EQ-LC,Unlock,0.40,2022-02-23,382.00
HDFC NIFTY 100 ETF,--,1.00,83/146,Very High,EQ-LC,Unlock,0.30,2022-08-05,33.00
HDFC NIFTY 100 Index Fund - Direct Plan,2,0.94,63/94,Very High,EQ-LC,Unlock,0.30,2022-02-23,355.00
HDFC NIFTY100 Low Volatility 30 ETF,--,1.50,77/146,Very High,EQ-LC,Unlock,0.30,2022-10-11,16.00
HDFC NIFTY100 Low Volatility 30 Index Fund - Direct Plan,--,1.32,48/94,Very High,EQ-LC,Unlock,0.40,2024-07-10,337.00
HDFC NIFTY100 Quality 30 ETF,--,-5.35,118/146,Very High,EQ-LC,Unlock,0.30,2022-09-23,24.00
HDFC Nifty100 Quality 30 Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.40,2025-02-19,184.00
HDFC NIFTY200 Momentum 30 ETF,--,-12.84,45/54,Very High,EQ-L&MC,Unlock,0.30,2022-10-11,102.00
HDFC NIFTY200 Momentum 30 Index Fund - Direct Plan,--,-13.09,43/44,Very High,EQ-L&MC,Unlock,0.40,2024-02-28,763.00
HDFC Nifty500 Multicap 50:25:25 Index Fund - Direct Plan,--,--,--,Very High,EQ-MLC,Unlock,0.30,2024-08-23,490.00
HDFC NIFTY50 Equal Weight Index Fund - Direct Plan,4,0.97,60/94,Very High,EQ-LC,Unlock,0.40,2021-08-20,"1,544"
HDFC NIFTY 50 ETF,--,3.01,16/146,Very High,EQ-LC,Unlock,0.05,2015-12-09,"4,762"
HDFC NIFTY 50 Index Fund Direct Plan,3,2.80,29/94,Very High,EQ-LC,Unlock,0.20,2013-01-01,"21,043"
HDFC NIFTY50 Value 20 ETF,--,-7.35,24/31,Very High,EQ-VAL,Unlock,0.20,2022-09-23,38.00
HDFC NIFTY Bank ETF,--,11.78,24/54,Very High,EQ-BANK,Unlock,0.16,2020-08-21,"2,805"
HDFC NIFTY Growth Sectors 15 ETF,--,-4.62,57/87,Very High,EQ-THEMATIC,Unlock,0.30,2022-09-23,24.00
HDFC Nifty India Digital Index Fund - Direct Plan,--,--,--,Very High,EQ-IT,Unlock,0.40,2024-12-11,219.00
HDFC NIFTY IT ETF,--,-9.41,17/26,Very High,EQ-IT,Unlock,0.20,2022-11-16,52.00
HDFC Nifty LargeMidcap 250 Index Fund - Direct Plan,--,--,--,Very High,EQ-L&MC,Unlock,0.25,2024-10-09,494.00
HDFC NIFTY Midcap 150 ETF,--,2.35,23/53,Very High,EQ-MC,Unlock,0.20,2023-02-15,96.00
HDFC NIFTY Midcap 150 Index Fund - Direct Plan,--,2.12,22/43,Very High,EQ-MC,Unlock,0.30,2023-04-21,375.00
HDFC NIFTY Next 50 ETF,--,-6.48,126/146,Very High,EQ-LC,Unlock,0.25,2022-08-05,92.00
HDFC NIFTY Next 50 Index Fund - Direct Plan,1,-6.85,89/94,Very High,EQ-LC,Unlock,0.30,2021-11-03,"2,008"
HDFC NIFTY Private Bank ETF,--,9.28,42/54,Very High,EQ-BANK,Unlock,0.15,2022-11-16,341.00
HDFC NIFTY PSU BANK ETF,--,-1.82,51/54,Very High,EQ-BANK,Unlock,0.35,2024-01-31,25.00
HDFC NIFTY Realty Index Fund - Direct Plan,--,-10.84,74/77,Very High,EQ-THEMATIC,Unlock,0.40,2024-03-26,130.00
HDFC Nifty Smallcap 250 ETF,--,-0.49,19/45,Very High,EQ-SC,Unlock,0.20,2023-02-15,"1,316"
HDFC Nifty Smallcap 250 Index Fund - Direct Plan,--,-0.65,25/42,Very High,EQ-SC,Unlock,0.30,2023-04-21,531.00
HDFC Nifty Top 20 Equal Weight Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.30,2025-03-25,83.00
HDFC Non-Cyclical Consumer Fund - Direct Plan,--,4.06,4/16,Very High,EQ-Consumption,Unlock,1.05,2023-07-12,"1,004"
HDFC Pharma And Healthcare Fund - Direct Plan,--,26.82,2/17,Very High,EQ-Pharma,Unlock,0.86,2023-10-04,"1,786"
HDFC Retirement Savings Fund Equity Plan - Direct Plan,5,2.80,45/88,Very High,EQ-FLX,Unlock,0.74,2016-02-25,"6,701"
HDFC Small Cap Fund - Direct Plan,3,4.86,8/42,Very High,EQ-SC,Unlock,0.71,2013-01-01,"35,781"
HDFC Technology Fund - Direct Plan,--,2.43,3/15,Very High,EQ-IT,Unlock,0.96,2023-09-08,"1,470"
HDFC Transportation and Logistics Fund - Direct Plan,--,2.19,30/77,Very High,EQ-THEMATIC,Unlock,0.96,2023-08-17,"1,395"
HDFC Value Fund - Direct Plan,2,3.89,5/26,Very High,EQ-VAL,Unlock,1.01,2013-01-01,"7,443"
Helios Financial Services Fund - Direct Plan,--,17.88,4/30,Very High,EQ-BANK,Unlock,0.83,2024-06-24,188.00
Helios Flexi Cap Fund - Direct Plan,--,8.25,12/88,Very High,EQ-FLX,Unlock,0.52,2023-11-13,"3,471"
Helios Large & Mid Cap Fund - Direct Plan,--,--,--,Very High,EQ-L&MC,Unlock,0.77,2024-10-30,345.00
Helios Mid Cap Fund - Direct Plan,--,--,--,Very High,EQ-MC,Unlock,0.79,2025-03-13,126.00
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Direct Plan,--,22.76,24/51,Very High,EQ-INTL,Unlock,1.03,2014-02-24,19.00
HSBC Brazil Fund - Direct Plan,--,10.41,51/51,Very High,EQ-INTL,Unlock,1.01,2013-01-02,86.00
HSBC Business Cycles Fund - Direct Plan,--,4.78,16/77,Very High,EQ-THEMATIC,Unlock,1.07,2014-08-20,"1,153"
HSBC Consumption Fund - Direct Plan,--,8.48,1/16,Very High,EQ-Consumption,Unlock,0.80,2023-08-31,"1,593"
HSBC ELSS Tax Saver Fund - Direct Plan,3,4.53,9/39,Very High,EQ-ELSS,Unlock,1.13,2013-01-01,"4,251"
HSBC Financial Services Fund - Direct Plan,--,--,--,Very High,EQ-BANK,Unlock,1.01,2025-02-27,677.00
HSBC Flexi Cap Fund - Direct Plan,4,3.47,38/88,Very High,EQ-FLX,Unlock,1.17,2013-01-01,"5,169"
HSBC Focused Fund - Direct Plan,2,4.25,32/88,Very High,EQ-FLX,Unlock,0.94,2020-07-22,"1,721"
HSBC Global Emerging Markets Fund - Direct Plan,--,22.11,28/51,Very High,EQ-INTL,Unlock,1.05,2013-01-02,60.00
HSBC Global Equity Climate Change FoF - Direct Plan,--,11.63,49/51,Very High,EQ-INTL,Unlock,0.82,2021-03-22,57.00
HSBC India Export Opportunities Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.70,2024-09-25,"1,751"
HSBC Infrastructure Fund - Direct Plan,3,-5.79,15/20,Very High,EQ-INFRA,Unlock,0.98,2013-01-01,"2,474"
HSBC Large and Mid Cap Fund - Direct Plan,2,1.27,28/44,Very High,EQ-L&MC,Unlock,0.82,2019-03-28,"4,365"
HSBC Large Cap Fund - Direct Plan,3,1.27,50/94,Very High,EQ-LC,Unlock,1.24,2013-01-01,"1,888"
HSBC Midcap Fund - Direct Plan,3,4.07,15/43,Very High,EQ-MC,Unlock,0.66,2013-01-01,"12,146"
HSBC Multi Cap Fund - Direct Plan,--,1.57,21/26,Very High,EQ-MLC,Unlock,0.57,2023-01-30,"4,985"
HSBC Nifty 50 Index Fund - Direct Plan,3,2.79,32/94,Very High,EQ-LC,Unlock,0.19,2020-04-15,354.00
HSBC Nifty Next 50 Index Fund - Direct Plan,1,-6.91,91/94,Very High,EQ-LC,Unlock,0.34,2020-04-15,138.00
HSBC Small Cap Fund - Direct Plan,3,-2.08,34/42,Very High,EQ-SC,Unlock,0.62,2014-05-12,"16,909"
HSBC Tax Saver Equity Fund - Direct Plan,--,11.50,--,Very High,EQ-ELSS,Unlock,1.80,2013-01-01,253.00
HSBC Value Fund - Direct Plan,4,2.77,8/26,Very High,EQ-VAL,Unlock,0.77,2013-01-01,"14,054"
ICICI Prudential Active Momentum Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,--,--,--
ICICI Prudential Banking and Financial Services Fund - Direct Plan,3,13.56,13/30,Very High,EQ-BANK,Unlock,1.00,2013-01-01,"10,088"
ICICI Prudential BHARAT 22 FOF - Direct Plan,5,-8.03,94/94,Very High,EQ-LC,Unlock,0.12,2018-06-29,"2,400"
ICICI Prudential Bharat Consumption Fund - Direct Plan,4,0.63,8/16,Very High,EQ-Consumption,Unlock,1.08,2019-04-12,"3,157"
ICICI Prudential BSE 500 ETF,--,0.62,55/92,Very High,EQ-FLX,Unlock,0.32,2018-05-09,321.00
ICICI Prudential BSE 500 ETF FOF - Direct Plan,3,1.64,55/88,Very High,EQ-FLX,Unlock,0.08,2021-12-01,58.00
ICICI Prudential BSE Midcap Select ETF,--,-0.39,38/53,Very High,EQ-MC,Unlock,0.15,2016-07-04,91.00
ICICI Prudential BSE Sensex ETF,--,3.01,15/146,Very High,EQ-LC,Unlock,0.02,2003-01-10,"22,130"
ICICI Prudential BSE Sensex Index Fund - Direct Plan,2,2.79,33/94,Very High,EQ-LC,Unlock,0.20,2017-09-21,"1,931"
ICICI Prudential Business Cycle Fund - Direct Plan,--,8.14,8/77,Very High,EQ-THEMATIC,Unlock,0.72,2021-01-18,"13,470"
ICICI Prudential Commodities Fund - Direct Plan,--,3.63,21/77,Very High,EQ-THEMATIC,Unlock,0.98,2019-10-15,"2,912"
ICICI Prudential Dividend Yield Equity Fund - Direct Plan,--,3.11,1/9,Very High,EQ-DIV Y,Unlock,0.58,2014-05-16,"5,645"
ICICI Prudential ELSS Tax Saver - Direct Plan,2,4.26,11/39,Very High,EQ-ELSS,Unlock,1.07,2013-01-01,"14,661"
ICICI Prudential Energy Opportunities Fund - Direct Plan,--,1.69,2/4,Very High,EQ-Energy,Unlock,0.52,2024-07-22,"10,359"
ICICI Prudential Equity Minimum Variance Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.69,2024-12-06,"3,770"
ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan,--,7.48,1/9,Very High,EQ-T-ESG,Unlock,1.00,2020-10-09,"1,549"
ICICI Prudential Exports and Services Fund - Direct Plan,--,6.28,13/77,Very High,EQ-THEMATIC,Unlock,1.68,2013-01-01,"1,429"
ICICI Prudential Flexicap Fund - Direct Plan,4,3.01,42/88,Very High,EQ-FLX,Unlock,0.78,2021-07-17,"17,946"
ICICI Prudential FMCG Fund - Direct Plan,--,-8.65,71/77,Very High,EQ-THEMATIC,Unlock,1.26,2013-01-01,"2,044"
ICICI Prudential Focused Equity Fund - Direct Plan,4,8.10,14/88,Very High,EQ-FLX,Unlock,0.57,2013-01-01,"12,244"
ICICI Prudential Global Advantage Fund (FOF) - Direct Plan,--,23.54,23/51,Very High,EQ-INTL,Unlock,0.65,2019-10-07,326.00
ICICI Prudential Global Stable Equity Fund (FOF) - Direct Plan,--,13.88,47/51,Very High,EQ-INTL,Unlock,0.84,2013-09-13,101.00
ICICI Prudential Housing Opportunities Fund - Direct Plan,--,4.68,17/77,Very High,EQ-THEMATIC,Unlock,1.15,2022-04-18,"2,396"
ICICI Prudential India Equity FOF - Direct Plan,5,4.67,30/88,Very High,EQ-FLX,Unlock,0.63,2020-02-25,191.00
ICICI Prudential India Opportunities Fund - Direct Plan,--,6.56,12/77,Very High,EQ-THEMATIC,Unlock,0.61,2019-01-15,"29,463"
ICICI Prudential Infrastructure Fund - Direct Plan,5,2.29,1/20,Very High,EQ-INFRA,Unlock,1.14,2013-01-01,"8,043"
ICICI Prudential Innovation Fund - Direct Plan,--,5.11,14/77,Very High,EQ-THEMATIC,Unlock,0.68,2023-04-28,"7,060"
ICICI Prudential Large Cap Fund - Direct Plan,5,3.79,9/94,Very High,EQ-LC,Unlock,0.85,2013-01-01,"72,336"
ICICI Prudential Large & Mid Cap Fund - Direct Plan,5,5.18,9/44,Very High,EQ-L&MC,Unlock,0.77,2013-01-01,"22,857"
ICICI Prudential Manufacturing Fund - Direct Plan,--,-0.42,40/77,Very High,EQ-THEMATIC,Unlock,0.72,2018-10-11,"6,761"
ICICI Prudential Midcap Fund - Direct Plan,3,5.40,8/43,Very High,EQ-MC,Unlock,1.04,2013-01-01,"6,824"
