Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Axis Global Equity Alpha FoF - Direct Plan,0.78,43/51,3.95,31/51,16.93,24/51,8.00,28/51,25.12,20/51
Axis Global Innovation FoF - Direct Plan,1.24,32/51,4.60,21/51,19.74,17/51,6.10,37/51,22.29,27/51
Axis Greater China Equity FoF - Direct Plan,1.35,23/51,6.10,9/51,19.26,18/51,18.48,4/51,33.53,8/51
Axis India Manufacturing Fund - Direct Plan,-0.78,48/124,0.86,30/121,9.01,48/118,8.68,54/108,0.21,38/77
Axis Innovation Fund - Direct Plan,0.10,14/124,0.76,31/121,9.47,43/118,7.27,70/108,7.22,11/77
Axis Large Cap Fund - Direct Plan,0.10,3/111,-0.82,32/110,3.28,96/105,8.11,48/99,3.20,14/94
Axis Large & Mid Cap Fund - Direct Plan,-0.39,18/63,-0.36,11/60,7.59,16/58,7.37,29/55,5.19,8/44
Axis Midcap Fund - Direct Plan,-0.63,3/52,-0.83,35/52,10.23,12/51,10.80,8/48,5.09,10/43
Axis Momentum Fund - Direct Plan,0.21,12/124,-0.53,72/121,7.24,69/118,5.30,82/108,--,--
Axis Multicap Fund - Direct Plan,-0.80,6/36,-0.38,22/36,8.40,12/35,7.64,25/34,6.78,5/26
Axis Multi Factor Passive FoF - Direct Plan,-1.32,76/124,-1.24,--,4.49,--,4.05,--,-6.37,--
Axis NASDAQ 100 FoF - Direct Plan,1.25,31/51,5.47,15/51,21.69,13/51,6.42,36/51,25.70,19/51
Axis Nifty 100 Index Fund - Direct Plan,-0.66,54/111,-1.22,50/110,4.04,45/105,8.23,37/99,1.12,55/94
Axis Nifty 500 Index Fund - Direct Plan,-1.08,74/103,-1.01,73/102,5.85,58/99,8.63,43/96,1.34,57/88
Axis Nifty500 Momentum 50 Index Fund - Direct Plan,-0.94,60/103,-4.84,100/102,6.40,45/99,--,--,--,--
Axis Nifty500 Value 50 ETF,-1.49,22/37,0.63,5/37,5.56,19/37,--,--,--,--
Axis Nifty500 Value 50 Index Fund - Direct Plan,-1.50,18/30,0.46,6/30,5.38,19/30,8.85,10/29,--,--
Axis Nifty 50 ETF,-0.48,51/172,-1.31,107/170,3.97,68/160,8.39,22/152,3.01,13/146
Axis Nifty 50 Index Fund - Direct Plan,-0.48,27/111,-1.32,70/110,3.95,59/105,8.32,21/99,2.97,15/94
Axis Nifty Bank ETF,0.51,4/65,0.23,14/64,3.95,38/64,17.44,19/59,11.80,22/54
Axis Nifty Bank Index Fund - Direct Plan,0.50,4/38,0.24,7/37,3.95,24/37,17.45,18/33,11.91,19/30
Axis NIFTY Healthcare ETF,1.33,7/29,4.46,15/28,7.63,16/27,6.49,15/27,11.71,16/23
Axis NIFTY India Consumption ETF,-0.07,10/30,-0.42,20/30,4.39,17/30,8.06,11/28,1.99,10/21
Axis NIFTY IT ETF,-4.07,22/32,-8.59,18/32,1.05,23/31,-17.45,24/30,-9.43,21/26
Axis Nifty IT Index Fund - Direct Plan,-4.08,20/21,-8.61,18/21,1.02,17/20,-17.54,19/19,-9.56,15/15
Axis Nifty Midcap 50 Index Fund - Direct Plan,-1.85,43/52,-1.73,44/52,8.09,40/51,10.42,12/48,2.71,20/43
Axis Nifty Next 50 Index Fund - Direct Plan,-1.52,95/111,-0.70,16/110,4.58,30/105,7.73,61/99,-6.46,81/94
Axis Nifty Smallcap 50 Index Fund - Direct Plan,-3.59,42/46,-2.26,41/46,10.31,33/46,8.52,22/43,1.09,18/42
Axis Quant Fund - Direct Plan,-0.30,24/124,-1.54,101/121,4.72,102/118,3.93,91/108,-4.97,61/77
Axis Services Opportunities Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Axis Small Cap Fund - Direct Plan,-1.89,10/46,-0.02,27/46,9.70,42/46,9.07,10/43,6.72,6/42
Axis Value Fund - Direct Plan,-0.87,6/30,-0.05,10/30,6.79,10/30,6.32,20/29,4.59,4/26
Bajaj Finserv Consumption Fund - Direct Plan,-1.19,21/24,-0.06,13/24,4.06,17/24,3.47,20/22,--,--
Bajaj Finserv ELSS Tax Saver Fund - Direct Plan,-1.75,35/40,-1.14,32/40,4.15,35/40,--,--,--,--
Bajaj Finserv Flexi Cap Fund - Direct Plan,-1.38,88/103,-0.55,48/102,9.45,6/99,10.80,19/96,6.87,17/88
Bajaj Finserv Healthcare Fund - Direct Plan,0.11,21/23,4.33,15/22,8.48,10/21,5.72,14/21,--,--
Bajaj Finserv Large and Mid Cap Fund - Direct Plan,-1.52,52/63,-0.82,22/60,7.07,22/58,8.00,26/55,3.90,12/44
Bajaj Finserv Large Cap Fund - Direct Plan,-0.81,64/111,-1.50,92/110,4.69,23/105,7.98,54/99,--,--
Bajaj Finserv Multi Cap Fund - Direct Plan,-1.91,29/36,-0.46,24/36,6.80,30/35,--,--,--,--
Bajaj Finserv Nifty 50 ETF,-0.48,53/172,-1.31,105/170,3.97,70/160,8.37,29/152,2.99,24/146
Bajaj Finserv Nifty 50 Index Fund - Direct Plan,-0.48,44/111,-1.33,83/110,--,--,--,--,--,--
Bajaj Finserv Nifty Bank ETF,0.50,8/65,0.23,21/64,3.96,32/64,17.45,18/59,11.83,19/54
Bajaj Finserv Nifty Next 50 Index Fund - Direct Plan,-1.53,107/111,-0.74,30/110,--,--,--,--,--,--
Bajaj Finserv Small Cap Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan BSE Healthcare Index Fund - Direct Plan,0.56,13/23,4.25,18/22,8.47,11/21,7.78,9/21,--,--
Bandhan BSE Sensex ETF,-0.35,24/172,-1.28,86/170,3.47,133/160,7.60,103/152,2.65,47/146
Bandhan Business Cycle Fund - Direct Plan,-1.24,71/124,-0.60,76/121,6.56,76/118,9.33,46/108,--,--
Bandhan ELSS Tax Saver Fund - Direct Plan,-0.84,25/40,-0.83,28/40,4.58,30/40,7.92,22/39,-0.54,33/39
Bandhan Financial Services Fund - Direct Plan,-0.28,23/38,-0.79,25/37,4.93,16/37,15.34,33/33,14.70,10/30
Bandhan Flexi Cap Fund - Direct Plan,-0.38,30/103,-0.55,47/102,6.31,46/99,10.16,21/96,3.76,34/88
Bandhan Focused Fund - Direct Plan,-0.84,52/103,1.31,3/102,8.93,9/99,7.81,61/96,14.02,1/88
Bandhan Infrastructure Fund - Direct Plan,-1.98,14/22,-1.13,15/22,7.60,15/21,8.56,11/21,-8.27,18/20
Bandhan Innovation Fund - Direct Plan,-0.75,45/124,1.55,13/121,10.39,32/118,10.28,34/108,12.72,3/77
Bandhan Large Cap Fund - Direct Plan,-0.34,11/111,-0.24,8/110,5.61,9/105,9.90,4/99,3.70,10/94
Bandhan Large & Mid Cap Fund - Direct Plan,-0.69,28/63,0.40,6/60,7.16,19/58,10.17,9/55,4.36,10/44
Bandhan Midcap Fund - Direct Plan,-0.88,10/52,-0.40,15/52,10.83,9/51,8.11,33/48,3.28,17/43
Bandhan Multi Cap Fund - Direct Plan,-1.15,14/36,-0.12,14/36,6.60,31/35,9.95,11/34,1.88,18/26
Bandhan Multi-Factor Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Bandhan Nifty 100 Index Fund - Direct Plan,-0.66,57/111,-1.21,48/110,4.06,44/105,8.23,36/99,1.15,54/94
