Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
ICICI Prudential Nifty200 Value 30 ETF,-1.66,27/37,0.48,6/37,4.36,26/37,10.38,4/35,--,--
ICICI Prudential Nifty200 Value 30 Index Fund - Direct Plan,-1.67,22/30,0.48,4/30,4.34,24/30,10.31,5/29,--,--
ICICI Prudential Nifty 500 Index Fund - Direct Plan,-1.07,71/103,-1.01,71/102,5.67,64/99,8.35,49/96,--,--
ICICI Prudential Nifty50 Equal Weight Index Fund - Direct Plan,-0.96,73/111,-1.55,96/110,3.96,52/105,8.26,35/99,1.00,58/94
ICICI Prudential Nifty 50 ETF,-0.48,39/172,-1.31,95/170,3.98,58/160,8.40,16/152,3.03,9/146
ICICI Prudential Nifty 50 Index Fund - Direct Plan,-0.48,36/111,-1.32,79/110,3.93,67/105,8.26,34/99,2.80,30/94
ICICI Prudential Nifty50 Value 20 ETF,-1.24,15/37,-2.23,34/37,0.99,35/37,-2.97,32/35,-7.44,26/31
ICICI Prudential Nifty50 Value 20 Index Fund - Direct Plan,-1.24,13/30,-2.24,30/30,0.97,30/30,-3.02,29/29,-7.51,25/26
ICICI Prudential Nifty Alpha Low Volatility 30 ETF,-0.44,25/77,-1.90,48/73,2.09,67/71,2.04,50/65,-8.67,37/54
ICICI Prudential Nifty Alpha Low Volatility 30 ETF FOF - Direct Plan,-0.44,20/63,-1.70,40/60,2.31,54/58,1.99,51/55,-8.56,34/44
ICICI Prudential Nifty Auto ETF,-0.40,31/147,0.09,54/142,8.59,57/137,7.72,66/124,-6.58,70/87
ICICI Prudential Nifty Auto Index Fund - Direct Plan,-0.41,27/124,0.07,54/121,8.53,50/118,7.58,63/108,-6.76,67/77
ICICI Prudential Nifty Bank ETF,0.50,9/65,0.23,19/64,3.97,31/64,17.47,16/59,11.82,21/54
ICICI Prudential Nifty Bank Index Fund - Direct Plan,0.51,3/38,0.23,8/37,3.95,23/37,17.40,20/33,11.66,22/30
ICICI Prudential Nifty Commodities ETF,-1.88,110/147,0.30,44/142,3.65,124/137,9.70,38/124,-4.88,59/87
ICICI Prudential Nifty EV & New Age Automotive ETF,-1.15,77/147,-0.02,63/142,8.45,61/137,--,--,--,--
ICICI Prudential Nifty EV & New Age Automotive ETF FoF - Direct Plan,-1.24,70/124,0.08,53/121,8.16,54/118,--,--,--,--
ICICI Prudential Nifty Financial Services Ex-Bank ETF,-1.46,53/65,-2.63,62/64,7.44,12/64,20.13,2/59,19.49,2/54
ICICI Prudential Nifty FMCG ETF,-3.39,138/147,-0.26,76/142,-2.56,137/137,-1.25,118/124,-10.61,78/87
ICICI Prudential Nifty Healthcare ETF,1.34,5/29,4.49,12/28,7.69,13/27,6.60,12/27,11.93,11/23
ICICI Prudential Nifty India Consumption ETF,-0.07,9/30,-0.41,17/30,4.43,14/30,8.14,8/28,2.11,7/21
ICICI Prudential Nifty Infrastructure ETF,-1.61,6/25,-1.37,17/25,5.77,19/23,10.28,3/23,-0.91,4/22
ICICI Prudential Nifty IT ETF,-4.07,27/32,-8.61,26/32,1.05,21/31,-17.44,21/30,-9.40,15/26
ICICI Prudential Nifty IT Index Fund - Direct Plan,-4.08,19/21,-8.62,19/21,1.03,16/20,-17.40,16/19,-9.50,13/15
ICICI Prudential Nifty LargeMidcap 250 Index Fund - Direct Plan,-1.14,43/63,-0.91,28/60,6.66,26/58,8.78,21/55,1.68,25/44
ICICI Prudential Nifty Metal ETF,-0.36,29/147,1.03,24/142,10.17,38/137,11.76,17/124,--,--
ICICI Prudential Nifty Midcap 150 ETF,-1.61,30/64,-0.55,20/63,9.40,18/62,9.41,18/58,2.41,21/53
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan,-1.61,32/52,-0.56,23/52,9.34,22/51,9.27,20/48,2.10,24/43
ICICI Prudential Nifty Next 50 ETF,-1.52,146/172,-0.70,22/170,4.62,28/160,7.88,69/152,-6.35,122/146
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan,-1.52,103/111,-0.71,25/110,4.56,33/105,7.68,70/99,-6.88,90/94
ICICI Prudential Nifty Oil & Gas ETF,-3.54,139/147,-1.09,103/142,5.21,103/137,8.91,54/124,-12.03,85/87
ICICI Prudential Nifty Pharma Index Fund - Direct Plan,0.45,16/23,4.31,17/22,5.82,21/21,4.16,19/21,7.79,16/17
ICICI Prudential Nifty Private Bank ETF,0.30,27/65,-1.53,55/64,1.80,62/64,16.52,46/59,9.27,43/54
ICICI Prudential Nifty Private Bank Index Fund - Direct Plan,-1.02,31/38,--,--,--,--,--,--,--,--
ICICI Prudential Nifty PSU Bank ETF,-2.21,60/65,0.66,7/64,7.67,9/64,14.25,57/59,-1.89,52/54
ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan,-2.93,36/46,-0.38,34/46,12.03,15/46,8.57,21/43,-0.77,28/42
ICICI Prudential Nifty Top 15 Equal Weight ETF,-1.08,125/172,--,--,--,--,--,--,--,--
ICICI Prudential Nifty Top 15 Equal Weight Index Fund - Direct Plan,-1.08,82/111,--,--,--,--,--,--,--,--
ICICI Prudential Passive Strategy Fund (FOF) - Direct Plan,-1.07,72/103,-0.79,60/102,3.38,96/99,8.51,46/96,4.42,31/88
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan,0.89,7/23,4.64,11/22,10.38,6/21,9.45,5/21,18.88,5/17
ICICI Prudential PSU Equity Fund - Direct Plan,-1.71,2/7,0.09,1/7,2.90,7/7,8.06,5/6,-6.16,3/5
ICICI Prudential Quality Fund - Direct Plan,-1.55,89/124,-0.78,84/121,--,--,--,--,--,--
ICICI Prudential Quant Fund - Direct Plan,-1.47,86/124,-0.59,75/121,4.60,103/118,6.65,73/108,4.32,19/77
ICICI Prudential Retirement Fund - Pure Equity Plan - Direct Plan,-0.85,54/103,-0.11,28/102,12.51,2/99,14.37,1/96,11.02,2/88
ICICI Prudential Rural Opportunities Fund - Direct Plan,-1.42,81/124,0.45,38/121,5.11,96/118,--,--,--,--
ICICI Prudential Smallcap Fund - Direct Plan,-1.68,6/46,0.67,13/46,11.11,29/46,8.65,19/43,-0.15,20/42
ICICI Prudential Strategic Metal and Energy Equity FoF - Direct Plan,1.81,15/51,2.25,47/51,8.63,47/51,15.90,12/51,21.31,30/51
ICICI Prudential Technology Fund - Direct Plan,-1.71,11/21,-4.26,10/21,6.40,11/20,-6.48,12/19,-0.41,5/15
ICICI Prudential Thematic Advantage Fund (FOF) - Direct,-0.97,55/124,-0.20,65/121,5.10,97/118,10.01,38/108,11.54,4/77
ICICI Prudential Transportation and Logistics Fund - Direct Plan,0.41,11/124,1.15,21/121,10.82,26/118,11.07,24/108,1.31,32/77
ICICI Prudential US Bluechip Equity Fund - Direct Plan,3.87,3/51,8.03,7/51,16.81,26/51,4.28,42/51,14.11,46/51
ICICI Prudential Value Fund - Direct Plan,-0.66,3/30,-0.53,20/30,4.91,22/30,8.92,8/29,4.88,3/26
Invesco India Business Cycle Fund - Direct Plan,0.08,15/124,2.35,7/121,16.11,8/118,--,--,--,--
Invesco India Contra Fund - Direct Plan,-0.14,1/30,0.32,9/30,7.16,6/30,9.69,7/29,6.19,1/26
Invesco India ELSS Tax Saver Fund - Direct Plan,-0.84,26/40,-0.15,12/40,7.27,11/40,6.59,32/39,3.92,12/39
Invesco India ESG Integration Strategy Fund - Direct Plan,-0.42,4/10,-1.56,9/10,5.17,3/10,3.79,10/10,2.22,4/9
Invesco India Financial Services Fund - Direct Plan,0.19,14/38,-0.14,19/37,7.55,6/37,17.30,25/33,15.37,9/30
Invesco India Flexi Cap Fund - Direct Plan,-0.20,18/103,0.65,8/102,10.78,3/99,12.89,3/96,10.72,4/88
Invesco India Focused Fund - Direct Plan,0.23,4/103,0.39,15/102,8.01,20/99,11.68,6/96,9.80,6/88
Invesco India Infrastructure Fund - Direct Plan,-0.91,1/22,-0.19,8/22,11.27,4/21,9.51,9/21,-1.33,8/20
Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF - Direct Plan,1.32,24/51,5.25,19/51,22.33,10/51,6.80,33/51,26.28,15/51
Invesco India - Invesco Global Consumer Trends FoF - Direct Plan,-0.64,48/51,2.04,48/51,29.65,3/51,8.20,27/51,46.11,4/51
Invesco India - Invesco Global Equity Income FoF - Direct Plan,0.28,46/51,3.34,40/51,18.38,20/51,13.54,17/51,28.53,11/51
Invesco India - Invesco Pan European Equity FoF - Direct Plan,2.01,11/51,3.63,35/51,13.46,35/51,19.86,3/51,20.87,32/51
Invesco India Largecap Fund - Direct Plan,-0.50,47/111,-1.36,89/110,6.12,4/105,9.62,7/99,4.33,7/94
Invesco India Large & Mid Cap Fund - Direct Plan,0.02,5/63,1.17,3/60,13.59,2/58,17.13,1/55,15.39,1/44
Invesco India Manufacturing Fund - Direct Plan,-1.15,67/124,0.88,29/121,9.18,46/118,7.25,71/108,--,--
Invesco India Mid Cap Fund - Direct Plan,-1.17,13/52,1.06,2/52,15.70,1/51,16.90,1/48,17.17,1/43
Invesco India Multicap Fund - Direct Plan,-0.75,5/36,-0.98,33/36,7.49,22/35,6.61,29/34,4.87,7/26
Invesco India Nifty 50 ETF,-0.48,54/172,-1.31,112/170,3.96,76/160,8.36,30/152,2.94,35/146
Invesco India PSU Equity Fund - Direct Plan,-1.84,3/7,-1.06,4/7,7.95,1/7,12.59,1/6,-5.72,2/5
Invesco India Smallcap Fund - Direct Plan,-1.76,8/46,0.49,17/46,12.59,5/46,9.97,8/43,10.52,3/42
Invesco India Technology Fund - Direct Plan,-0.72,6/21,-2.83,8/21,10.34,4/20,-1.84,5/19,--,--
ITI Banking and Financial Services Fund - Direct Plan,-0.36,24/38,-0.51,23/37,3.75,32/37,18.28,11/33,14.41,12/30
ITI Bharat Consumption Fund - Direct Plan,-1.17,20/24,0.16,11/24,4.93,10/24,--,--,--,--
ITI ELSS Tax Saver Fund - Direct Plan,-2.46,39/40,-1.83,38/40,8.83,4/40,13.14,1/39,1.60,27/39
ITI Flexi Cap Fund - Direct Plan,-1.15,82/103,-0.58,51/102,8.64,14/99,10.56,20/96,2.85,44/88
ITI Focused Fund - Direct Plan,-1.02,64/103,-0.68,55/102,8.20,17/99,11.11,13/96,5.85,26/88
ITI Large Cap Fund - Direct Plan,-1.46,91/111,-1.87,104/110,4.83,18/105,7.86,56/99,-1.73,72/94
ITI Large & Mid Cap Fund - Direct Plan,-1.80,55/63,-1.79,43/60,8.02,11/58,9.37,14/55,--,--
ITI Mid Cap Fund - Direct Plan,-1.46,21/52,-1.44,42/52,7.79,44/51,7.51,35/48,-2.65,38/43
ITI Multi Cap Fund - Direct Plan,-0.87,9/36,-0.72,28/36,9.33,7/35,9.77,12/34,-0.85,24/26
ITI Pharma and Healthcare Fund - Direct Plan,-0.09,22/23,3.63,21/22,6.38,19/21,3.99,20/21,12.36,12/17
ITI Small Cap Fund - Direct Plan,-1.63,5/46,0.69,11/46,10.67,31/46,10.90,6/43,4.42,10/42
ITI Value Fund - Direct Plan,-2.22,27/30,-0.36,15/30,7.15,7/30,7.68,16/29,-4.59,20/26
JM ELSS Tax Saver Fund - Direct Plan,-1.17,32/40,-0.15,13/40,6.76,13/40,7.13,30/39,-1.20,34/39
JM Flexicap Fund - Direct Plan,-1.65,93/103,-1.42,82/102,2.88,99/99,0.93,94/96,-7.64,83/88
JM Focused Fund - Direct Plan,-0.66,42/103,-1.53,85/102,4.90,79/99,3.43,89/96,-3.12,80/88
JM Large Cap Fund - Direct Plan,-0.79,62/111,-1.32,69/110,4.97,14/105,5.61,90/99,-5.50,78/94
JM Large & Mid Cap Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
JM Midcap Fund - Direct Plan,-1.94,45/52,0.69,4/52,8.52,36/51,7.72,34/48,-1.61,37/43
JM Small Cap Fund - Direct Plan,-3.27,40/46,-2.34,44/46,7.36,46/46,6.65,37/43,-0.40,21/42
JM Value Fund - Direct Plan,-2.20,26/30,-0.83,22/30,6.72,11/30,5.66,23/29,-6.66,22/26
Kotak Active Momentum Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Kotak Banking & Financial Services Fund - Direct Plan,-0.50,27/38,-0.47,22/37,4.29,20/37,17.26,26/33,12.44,18/30
Kotak BSE Housing Index Fund - Direct Plan,-2.06,103/124,0.20,45/121,7.87,59/118,8.72,53/108,-3.29,55/77
Kotak BSE PSU Index Fund - Direct Plan,-1.96,4/7,-1.09,5/7,4.92,3/7,9.52,3/6,--,--
Kotak BSE Sensex ETF,-0.35,21/172,-1.27,81/170,3.54,128/160,7.72,96/152,2.83,38/146
Kotak BSE Sensex Index Fund - Direct Plan,-0.35,13/111,-1.28,61/110,3.51,90/105,--,--,--,--
Kotak Business Cycle Fund - Direct Plan,-0.67,40/124,0.17,48/121,9.10,47/118,10.70,30/108,7.99,9/77
Kotak Consumption Fund - Direct Plan,0.04,6/24,1.15,4/24,8.27,3/24,7.21,9/22,6.19,2/16
Kotak Contra Fund - Direct Plan,-1.30,17/30,-0.52,19/30,6.82,9/30,8.40,13/29,0.90,12/26
Kotak ELSS Tax Saver - Direct Plan,-0.80,22/40,-0.27,14/40,5.86,20/40,7.24,26/39,-0.42,32/39
Kotak Energy Opportunities Fund - Direct Plan,-1.71,3/6,-0.39,5/6,--,--,--,--,--,--
Kotak ESG Exclusionary Strategy Fund - Direct Plan,-0.04,2/10,-0.10,1/10,5.10,4/10,8.97,3/10,1.51,6/9
Kotak Flexicap Fund - Direct Plan,-0.29,26/103,-0.60,53/102,7.69,25/99,12.12,5/96,4.84,29/88
Kotak Focused Fund - Direct Plan,-0.01,9/103,-0.04,27/102,7.78,22/99,10.97,14/96,3.59,37/88
Kotak Global Emerging Market - Direct Plan,1.30,26/51,3.30,41/51,16.47,27/51,15.74,13/51,19.98,36/51
Kotak Global Innovation FoF - Direct Plan,1.02,--,5.77,--,19.07,--,4.08,--,20.49,--
Kotak Healthcare Fund - Direct Plan,0.97,6/23,4.58,12/22,8.54,9/21,5.53,16/21,13.94,9/17
Kotak Infrastructure and Economic Reform Fund - Standard Plan - Direct Plan,-1.41,4/22,0.44,3/22,12.13,2/21,7.77,15/21,-5.20,14/20
Kotak International REIT FOF - Direct Plan,1.27,28/51,3.26,42/51,11.37,41/51,10.22,23/51,15.57,41/51
Kotak Large Cap Fund - Direct Plan,-0.66,55/111,-1.00,41/110,4.91,16/105,8.71,14/99,2.90,20/94
Kotak Large & Midcap Fund - Direct Plan,-0.39,19/63,0.31,7/60,8.01,12/58,9.79,12/55,2.92,15/44
Kotak Manufacture in India Fund - Direct Plan,-0.70,41/124,1.40,19/121,10.45,29/118,9.77,41/108,0.35,37/77
Kotak Midcap Fund - Direct Plan,-0.63,4/52,0.61,7/52,13.67,3/51,10.93,7/48,6.46,4/43
Kotak MNC Fund - Direct Plan,-1.89,5/6,0.15,5/6,9.62,2/6,5.26,2/6,--,--
Kotak MSCI India ETF,-0.89,40/77,-1.33,36/73,4.59,54/71,--,--,--,--
Kotak Multicap Fund - Direct Plan,-1.62,27/36,-0.78,29/36,6.93,28/35,6.16,30/34,-0.08,23/26
Kotak Nasdaq 100 FOF - Direct Plan,1.27,27/51,5.55,13/51,22.23,11/51,6.62,35/51,26.23,16/51
Kotak Nifty 100 Equal Weight ETF,-1.23,132/172,-0.97,48/170,4.78,18/160,--,--,--,--
Kotak Nifty 100 Equal Weight Index Fund - Direct Plan,-1.23,88/111,-1.00,40/110,4.83,19/105,8.06,50/99,--,--
Kotak Nifty 100 Low Volatility 30 ETF,-1.01,118/172,-0.20,3/170,3.68,111/160,5.13,134/152,1.69,74/146
Kotak Nifty 100 Low Volatility 30 Index Fund - Direct Plan,-1.02,79/111,-0.22,4/110,3.61,81/105,4.99,92/99,1.16,53/94
Kotak Nifty 200 Momentum 30 Index Fund - Direct Plan,-0.27,12/63,-3.48,54/60,6.43,29/58,2.78,41/55,-12.53,39/44
Kotak Nifty200 Quality 30 ETF,-2.86,69/77,--,--,--,--,--,--,--,--
Kotak Nifty 200 Quality 30 Index Fund - Direct Plan,-2.87,60/63,--,--,--,--,--,--,--,--
Kotak Nifty 50 Equal Weight Index Fund - Direct Plan,-0.96,76/111,-1.54,93/110,3.97,51/105,7.67,73/99,--,--
Kotak Nifty 50 ETF,-0.48,45/172,-1.31,102/170,3.97,67/160,8.38,26/152,3.01,18/146
Kotak Nifty 50 Index Fund - Direct Plan,-0.48,26/111,-1.31,64/110,3.95,60/105,8.38,16/99,2.72,39/94
Kotak Nifty 50 Value 20 ETF,-1.24,12/37,-2.23,35/37,1.00,32/37,-2.93,30/35,-7.34,23/31
Kotak Nifty Alpha 50 ETF,-0.83,51/112,-2.68,99/110,10.35,4/106,5.04,83/101,-9.85,87/92
Kotak Nifty Alpha 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Kotak Nifty Bank ETF,0.50,11/65,0.23,23/64,3.95,37/64,17.43,23/59,11.76,27/54
Kotak Nifty Commodities Index Fund - Direct Plan,-1.87,96/124,-0.02,57/121,3.32,110/118,--,--,--,--
Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan,-1.46,34/38,-2.66,36/37,7.36,7/37,19.76,3/33,19.03,2/30
Kotak NIFTY India Consumption ETF,-0.07,8/30,-0.40,16/30,4.45,12/30,8.20,7/28,2.27,6/21
Kotak Nifty India Tourism Index Fund - Direct Plan,-2.82,116/124,-0.14,61/121,2.24,115/118,9.44,44/108,--,--
Kotak Nifty IT ETF,-4.07,19/32,-8.59,17/32,1.09,16/31,-17.39,16/30,-9.30,12/26
Kotak Nifty Midcap 150 ETF,-1.61,32/64,-0.56,22/63,9.33,22/62,--,--,--,--
Kotak Nifty Midcap 150 Index Fund - Direct Plan,-1.62,37/52,-0.61,31/52,9.22,31/51,--,--,--,--
Kotak Nifty Midcap 150 Momentum 50 Index Fund - Direct Plan,-0.74,6/52,-3.12,50/52,7.69,46/51,5.76,42/48,--,--
Kotak Nifty Midcap 50 ETF,-1.85,52/64,-1.72,53/63,8.11,44/62,10.41,7/58,2.79,16/53
Kotak Nifty Midcap 50 Index Fund - Direct Plan,-1.86,44/52,-1.74,45/52,8.02,41/51,10.19,13/48,--,--
Kotak Nifty MNC ETF,-1.93,6/7,0.33,5/7,7.14,6/7,5.72,2/7,-5.75,5/6
Kotak Nifty Next 50 Index Fund - Direct Plan,-1.52,101/111,-0.71,20/110,4.58,29/105,7.67,72/99,-6.45,80/94
Kotak Nifty PSU Bank ETF,-2.22,63/65,0.66,8/64,7.64,10/64,14.19,58/59,-1.99,53/54
Kotak Nifty Smallcap 250 Index Fund - Direct Plan,-2.93,35/46,-0.39,37/46,11.99,20/46,--,--,--,--
Kotak Nifty Smallcap 50 Index Fund - Direct Plan,-3.59,44/46,-2.28,42/46,10.26,35/46,8.94,13/43,1.50,16/42
Kotak Nifty Top 10 Equal Weight Index Fund - Direct Plan,-0.94,69/111,-3.41,109/110,--,--,--,--,--,--
Kotak Pioneer Fund - Direct Plan,0.75,6/124,1.92,11/121,12.72,14/118,11.46,21/108,10.35,5/77
Kotak Quant Fund - Direct Plan,-0.98,56/124,-0.13,60/121,2.38,113/118,6.14,76/108,-5.13,64/77
Kotak Small Cap Fund - Direct Plan,-1.80,9/46,0.35,20/46,11.16,28/46,7.11,35/43,-1.46,30/42
Kotak Special Opportunities Fund - Direct Plan,-2.96,117/124,-2.12,107/121,5.50,90/118,1.55,98/108,-4.98,62/77
Kotak Technology Fund - Direct Plan,-1.55,9/21,-4.57,12/21,5.60,12/20,-6.48,11/19,-0.66,6/15
Kotak Transportation & Logistics Fund - Direct Plan,0.78,5/124,3.18,3/121,15.83,9/118,14.19,8/108,--,--
LIC MF Banking & Financial Services Fund - Direct Plan,-0.50,28/38,0.81,3/37,7.67,5/37,19.50,5/33,9.83,27/30
LIC MF BSE Sensex ETF,-0.35,12/172,-1.24,67/170,3.56,126/160,7.79,92/152,2.91,36/146
LIC MF BSE Sensex Index Plan - Direct Plan,-0.36,21/111,-1.28,62/110,3.47,93/105,7.59,77/99,2.60,43/94
LIC MF Children's Fund - Direct Plan,-1.51,92/103,0.23,18/102,5.80,59/99,-0.67,95/96,-1.02,75/88
LIC MF Dividend Yield Fund - Direct Plan,-1.47,8/10,-1.46,9/10,7.04,2/10,8.78,3/10,1.97,2/9
LIC MF ELSS Tax Saver - Direct Plan,-0.75,20/40,-0.79,25/40,4.22,34/40,5.14,36/39,3.39,14/39
LIC MF Flexi Cap Fund - Direct Plan,-1.67,94/103,1.03,4/102,9.86,5/99,4.08,85/96,-3.00,79/88
LIC MF Focused Fund - Direct Plan,-2.57,100/103,-2.47,91/102,5.99,52/99,8.93,41/96,1.05,--
LIC MF Healthcare Fund - Direct Plan,0.31,19/23,5.23,7/22,7.31,13/21,5.34,17/21,14.63,8/17
LIC MF Infrastructure Fund - Direct Plan,-1.79,9/22,-1.06,14/22,14.12,1/21,9.10,10/21,-1.30,7/20
LIC MF Large Cap Fund - Direct Plan,-0.74,61/111,-1.17,45/110,3.99,48/105,7.20,83/99,1.19,52/94
LIC MF Large & Mid Cap Fund - Direct Plan,-1.11,39/63,-1.56,37/60,7.14,20/58,6.82,34/55,1.29,27/44
LIC MF Manufacturing Fund - Direct Plan,-1.72,91/124,1.12,22/121,14.72,11/118,11.55,20/108,--,--
LIC MF Midcap Fund - Direct Plan,-1.73,41/52,-1.51,43/52,10.02,15/51,6.00,39/48,0.42,31/43
LIC MF Multi Cap Fund - Direct Plan,-0.56,3/36,-0.08,12/36,9.67,4/35,7.27,28/34,3.63,12/26
LIC MF Nifty 100 ETF,-0.65,83/172,-1.21,62/170,4.05,54/160,8.21,41/152,1.08,81/146
LIC MF Nifty 50 ETF,-0.47,37/172,-1.31,94/170,3.98,65/160,8.39,19/152,2.99,20/146
LIC MF Nifty 50 Index Plan - Direct Plan,-0.49,45/111,-1.33,84/110,3.93,69/105,8.30,26/99,2.82,27/94
LIC MF Nifty Midcap 100 ETF,-1.84,51/64,-1.42,48/63,8.47,42/62,9.17,23/58,2.49,19/53
LIC MF Nifty Next 50 Index Fund - Direct Plan,-1.52,93/111,-0.70,18/110,4.65,24/105,7.78,58/99,-6.56,85/94
LIC MF Small Cap Fund - Direct Plan,-1.62,4/46,2.00,3/46,10.28,34/46,0.64,43/43,-2.78,37/42
LIC MF Value Fund - Direct Plan,-1.24,14/30,1.16,1/30,9.22,1/30,1.42,27/29,-1.77,15/26
Mahindra Manulife Asia Pacific REITs FoF - Direct Plan,1.69,17/51,4.26,25/51,12.19,39/51,15.40,14/51,19.34,37/51
Mahindra Manulife Banking & Financial Services Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Mahindra Manulife Business Cycle Fund - Direct Plan,-2.34,111/124,-0.83,86/121,5.71,87/118,7.32,68/108,-2.53,50/77
Mahindra Manulife Consumption Fund - Direct Plan,-0.34,13/24,0.16,10/24,4.45,14/24,6.60,12/22,-2.58,14/16
Mahindra Manulife ELSS Tax Saver Fund - Direct Plan,-0.90,27/40,-1.21,33/40,5.25,25/40,10.40,7/39,1.21,29/39
Mahindra Manulife Flexi Cap Fund - Direct Plan,-0.87,57/103,-1.09,76/102,5.12,77/99,9.79,30/96,1.41,56/88
Mahindra Manulife Focused Fund - Direct Plan,-1.73,95/103,-1.45,84/102,3.30,97/99,6.62,74/96,-1.36,77/88
Mahindra Manulife Large Cap Fund - Direct Plan,-0.91,67/111,-1.78,103/110,2.96,100/105,8.89,13/99,0.64,67/94
Mahindra Manulife Large & Mid Cap Fund - Direct Plan,-2.11,56/63,-0.74,20/60,7.40,17/58,8.71,23/55,1.07,29/44
Mahindra Manulife Manufacturing Fund - Direct Plan,-1.94,98/124,0.73,32/121,9.69,41/118,9.86,40/108,-2.28,48/77
Mahindra Manulife Mid Cap Fund - Direct Plan,-2.78,52/52,-0.97,36/52,7.35,47/51,6.77,38/48,-0.07,32/43
Mahindra Manulife Multi Cap Fund - Direct Plan,-1.94,31/36,0.47,5/36,9.06,8/35,10.84,8/34,3.91,11/26
Mahindra Manulife Small Cap Fund - Direct Plan,-2.51,25/46,0.50,16/46,10.41,32/46,7.60,31/43,-2.19,36/42
Mahindra Manulife Value Fund - Direct Plan,-2.64,30/30,-1.22,26/30,6.31,14/30,--,--,--,--
Mirae Asset Banking and Financial Services Fund - Direct Plan,0.09,16/38,-0.18,20/37,5.44,12/37,19.76,4/33,13.45,15/30
Mirae Asset BSE 200 Equal Weight ETF,-1.57,61/77,-0.80,21/73,5.85,42/71,--,--,--,--
Mirae Asset BSE 200 Equal Weight ETF FoF - Direct Plan,-1.70,54/63,-0.97,30/60,4.92,46/58,--,--,--,--
Mirae Asset BSE Select IPO ETF,-0.04,20/147,1.50,13/142,12.43,18/137,--,--,--,--
Mirae Asset BSE Select IPO ETF FoF - Direct Plan,-0.09,20/124,1.49,15/121,11.44,20/118,--,--,--,--
Mirae Asset BSE Sensex ETF,-0.35,16/172,-1.26,75/170,3.56,125/160,7.79,91/152,2.97,30/146
Mirae Asset Diversified Equity Allocator Passive FoF - Direct Plan,-0.80,63/111,-0.96,36/110,5.23,13/105,8.30,25/99,1.04,57/94
Mirae Asset ELSS Tax Saver Fund - Direct Plan,-0.73,19/40,0.06,8/40,7.85,9/40,11.14,4/39,4.86,7/39
Mirae Asset Flexi Cap Fund - Direct Plan,-0.85,53/103,-0.35,38/102,7.72,23/99,9.84,28/96,6.14,24/88
Mirae Asset Focused Fund - Direct Plan,-0.36,28/103,0.90,5/102,8.27,16/99,9.81,29/96,8.19,13/88
Mirae Asset Global Electric & Autonomous Vehicles Equity Passive FoF - Direct Plan,1.70,16/51,9.94,2/51,21.30,14/51,5.52,39/51,16.69,40/51
Mirae Asset Global X Artificial Intelligence & Technology ETF FoF - Direct Plan,1.23,33/51,4.69,20/51,23.00,8/51,10.01,24/51,35.03,7/51
Mirae Asset Great Consumer Fund - Direct Plan,-0.20,12/24,0.70,7/24,6.72,5/24,8.06,7/22,0.49,9/16
Mirae Asset Hang Seng TECH ETF,2.91,8/57,6.51,9/57,14.36,36/57,21.93,4/57,70.99,1/57
Mirae Asset Hang Seng TECH ETF FoF - Direct Plan,0.69,44/51,4.17,29/51,2.93,51/51,18.29,5/51,67.15,1/51
Mirae Asset Healthcare Fund - Direct Plan,0.35,18/23,5.46,6/22,9.30,7/21,8.62,8/21,14.91,7/17
Mirae Asset Large Cap Fund - Direct Plan,-0.41,23/111,-0.26,9/110,5.45,10/105,9.49,8/99,4.43,5/94
Mirae Asset Large & Midcap Fund - Direct Plan,-1.23,46/63,-0.37,12/60,8.10,10/58,10.26,7/55,1.52,26/44
Mirae Asset Midcap Fund - Direct Plan,-1.51,22/52,0.67,5/52,12.73,6/51,12.61,4/48,2.91,19/43
Mirae Asset Multicap Fund - Direct Plan,-1.18,16/36,-0.71,27/36,9.56,5/35,12.19,2/34,4.72,8/26
Mirae Asset Nifty 100 ESG Sector Leaders ETF,-0.39,4/11,-0.96,4/11,4.41,7/11,9.88,1/11,3.49,2/10
Mirae Asset Nifty 100 ESG Sector Leaders FoF - Direct Plan,-0.42,5/10,-0.85,3/10,4.29,9/10,9.69,2/10,3.32,3/9
Mirae Asset Nifty 100 Low Volatility 30 ETF,-1.02,120/172,-0.22,6/170,3.62,116/160,5.04,137/152,1.57,76/146
Mirae Asset Nifty 200 Alpha 30 ETF,-0.10,6/77,-1.60,39/73,8.69,5/71,7.40,25/65,-9.43,42/54
Mirae Asset Nifty 200 Alpha 30 ETF FoF - Direct Plan,-0.36,17/63,-1.62,39/60,8.75,5/58,6.98,33/55,--,--
