Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
Quantum Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Quantum Multi Asset Fund of Funds - Direct Plan,13.32,20/21,11.43,13/13,9.72,6/7,--,--,--,--
Samco Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Samco Dynamic Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Samco Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
SBI Arbitrage Opportunities Fund - Direct Plan,7.70,5/24,6.24,9/23,6.28,11/14,--,--,--,--
SBI Balanced Advantage Fund - Direct Plan,15.58,8/27,--,--,--,--,--,--,--,--
SBI Conservative Hybrid Fund - Direct Plan,11.31,10/28,11.95,6/25,9.85,4/21,--,--,--,--
SBI Equity Hybrid Fund - Direct Plan,16.03,27/42,17.55,26/39,13.00,11/23,--,--,--,--
SBI Equity Savings Fund - Direct Plan,12.42,7/22,12.72,7/22,9.94,3/9,--,--,--,--
SBI Magnum Children's Benefit Fund - Investment Plan - Direct Plan,24.72,1/42,--,--,--,--,--,--,--,--
SBI Magnum Children's Benefit Fund - Savings Plan - Direct Plan,13.71,1/28,14.27,1/25,12.31,1/21,--,--,--,--
SBI Multi Asset Allocation Fund - Direct Plan,18.25,8/21,15.64,9/13,12.10,--,--,--,--,--
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Direct Plan,15.60,33/42,--,--,--,--,--,--,--,--
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Direct Plan,11.68,6/28,--,--,--,--,--,--,--,--
SBI Retirement Benefit Fund - Conservative Plan - Direct Plan,10.19,21/28,--,--,--,--,--,--,--,--
Shriram Aggressive Hybrid Fund - Direct Plan,13.92,39/42,14.73,39/39,10.17,23/23,--,--,--,--
Shriram Balanced Advantage Fund - Direct Plan,11.05,26/27,11.59,21/22,--,--,--,--,--,--
Shriram Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Sundaram Aggressive Hybrid Fund - Direct Plan,15.71,30/42,17.79,23/39,12.59,14/23,--,--,--,--
