Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
JM Aggressive Hybrid Fund - Direct Plan,-1.25,41/44,-1.28,41/44,4.43,32/44,5.51,43/44,-2.38,43/44
JM Arbitrage Fund - Direct Plan,0.16,26/32,0.59,26/32,1.39,28/32,3.29,27/31,7.01,25/27
Kotak Aggressive Hybrid Fund - Direct Plan,0.02,4/44,0.58,5/44,7.68,5/44,7.86,20/44,5.28,21/44
Kotak Arbitrage Fund - Direct Plan,0.18,7/32,0.62,19/32,1.54,15/32,3.68,10/31,7.60,6/27
Kotak Balanced Advantage Fund - Direct Plan,-0.60,29/38,-0.36,26/38,3.82,18/38,6.58,20/37,6.27,15/36
Kotak Debt Hybrid Fund - Direct Plan,-0.33,22/28,0.36,14/28,1.55,22/28,4.52,24/28,7.23,15/28
Kotak Equity Savings Fund - Direct Plan,-0.40,21/23,0.27,14/23,3.09,11/23,5.11,12/22,5.78,16/22
Kotak Multi Asset Allocation Fund - Direct Plan,-0.65,34/43,0.79,12/43,5.90,9/41,7.29,34/40,5.75,32/37
Kotak Multi Asset Allocator FoF - Dynamic - Direct Plan,-0.89,40/43,-0.30,36/43,5.61,11/41,7.92,31/40,8.84,19/37
LIC MF Aggressive Hybrid Fund - Direct Plan,-1.02,38/44,-1.28,40/44,6.22,9/44,8.35,12/44,4.77,27/44
LIC MF Arbitrage Fund - Direct Plan,0.17,17/32,0.62,18/32,1.46,23/32,3.50,23/31,7.28,20/27
LIC MF Balanced Advantage Fund - Direct Plan,-1.01,34/38,-0.93,37/38,3.93,14/38,6.55,22/37,7.48,8/36
LIC MF Conservative Hybrid Fund - Direct Plan,-0.14,13/28,0.01,23/28,2.08,19/28,3.57,28/28,6.35,21/28
LIC MF Equity Savings Fund - Direct Plan,-0.50,22/23,0.06,17/23,3.70,5/23,7.09,2/22,8.19,2/22
LIC MF Multi Asset Allocation Fund - Direct Plan,-0.92,41/43,0.60,17/43,5.35,14/41,--,--,--,--
